Event_ID,Fight_ID,Date,B_ID,B_Name,B_HomeTown,B_Location,B_Age,B_Weight,R_ID,R_Name,R_HomeTown,R_Location,R_Age,R_Weight,WinningColor,Winby
861,7147,3/27/18,2931,Terrion Ware,"Los Angeles, California United States","Hawthorne, California United States",32.0,61.0,2882,Tom Duquesnoy,Paris France,Paris France,25.0,61.0,red,DEC
862,7101,4/9/18,1983,Al Iaquinta,"Wantagh, New York United States","Wantagh, New York United States",31.0,70.0,1919,Khabib Nurmagomedov,Dagestan Russia,Dagestan Russia,30.0,70.0,red,DEC
862,7105,4/9/18,2280,Joanna Jedrzejczyk,Olsztyn Poland,Olsztyn Poland,31.0,52.0,2344,Rose Namajunas,"Milwaukee, Wisconsin United States","Denver, Colorado United States",26.0,52.0,red,DEC
862,7108,4/9/18,2343,Felice Herrig,"Chicago, Illinois United States","Crystal Lake, Illinois United States",34.0,52.0,2678,Karolina Kowalkiewicz,Lodz Poland,Lodz Poland,32.0,52.0,red,DEC
862,7114,4/9/18,1622,Chris Gruetzemacher,"Page, Arizona United States","New Bern, North Carolina United States",32.0,70.0,524,Joe Lauzon,"Brockton, Massachusetts United States","Bridgewater, Massachusetts United States",34.0,70.0,blue,KO/TKO
862,7148,4/9/18,2368,Ashlee Evans-Smith,"Ukiah, California United States","Santa Ana, California United States",31.0,56.0,2345,Bec Rawlings,Tasmania Australia,Brisbane Australia,29.0,56.0,blue,DEC
862,7160,7/24/18,2223,Olivier Aubin-Mercier,"Montreal, Quebec Canada","Montreal, Quebec Canada",29.0,70.0,648,Evan Dunham,"Eugene, Oregon United States","Las Vegas, Nevada United States",36.0,70.0,blue,KO/TKO
862,7165,4/9/18,2749,Kyle Bochniak,"Gloucester, Massachusetts United States","Boston, Massachusetts United States",31.0,65.0,2965,Zabit Magomedsharipov,"Makhachkala , Republic of Dagestan Russia ",Dagestan  Russia ,27.0,65.0,red,DEC
862,7166,4/9/18,2918,Mike Rodriguez,"Dorchester, Massachusetts United States","South Easton, Massachusetts  United States",29.0,93.0,2780,Devin Clark,"Sioux Falls, South Dakota United States","Sioux Falls, South Dakota United Statets",28.0,93.0,red,DEC
863,7106,4/16/18,2896,Justin Gaethje,"Safford, Arizona United States","Arvada, Colorado United States",29.0,70.0,1595,Dustin Poirier,"Lafayette, Louisiana United States","Coconut Creek, Florida United States",29.0,70.0,red,KO/TKO
863,7115,4/16/18,2469,Alex Oliveira,"Tres Rios, Rio de Janeiro Brazil","Tres Rios, Rio de Janeiro Brazil",30.0,77.0,663,Carlos Condit,"Albuquerque, New Mexico United States","Albuquerque, New Mexico United States",34.0,77.0,blue,SUB
863,7122,4/16/18,2899,Adam Wieczorek,Chorzow Poland,Chorzow Poland,26.0,113.0,2962,Arjan Bhullar,"Vancouver, British Columbia Canada","Vancouver, British Columbia Canada",32.0,111.0,blue,SUB
863,7123,4/16/18,2007,John Moraga,"Phoenix, Arizona United States","Phoenix, Arizona United States",34.0,56.0,2095,Wilson Reis,"Januaria, Minas Gerais Brazil","San Diego, California United States",33.0,56.0,blue,DEC
863,7128,4/16/18,479,Yushin Okami,Kanagawa Japan,Kanagawa Japan,37.0,77.0,2282,Dhiego Lima,"Goiania, Goias Brazil","Atlanta, Georgia USA",29.0,77.0,blue,DEC
863,7136,4/16/18,2603,Cortney Casey,"Tucson, Arizona United States","Phoenix, Arizona United States",31.0,52.0,1347,Michelle Waterson,"Aurora, Colorado United States","Albuquerque, New Mexico United States",32.0,52.0,red,DEC
863,7139,4/16/18,2246,Antonio Carlos Junior,,,,,435,Tim Boetsch,"Lincolnville, Maine United States","Sunbury, Pennsylvania United States",37.0,84.0,blue,SUB
863,7140,4/16/18,3003,Lauren Mueller,"Escondido, California United States","San Diego, California United States",26.0,56.0,3034,Shana Dobson,"Miami, Florida United States","Fort Worth, Texas United States",29.0,56.0,blue,DEC
863,7141,4/16/18,1546,Brad Tavares,"Kailua, Hawaii United States","Las Vegas, Nevada United States",30.0,84.0,2122,Krzysztof Jotko,Orneta Poland,Orneta Poland,29.0,84.0,blue,KO/TKO
