Event_ID,B_Name,R_Name,winner,winby,Fight_ID
685,Johnny Bedford,Rani Yahya,red,SUB,4961
685,Dashon Johnson,Godofredo Pepey,red,SUB,4971
685,Piotr Hallmann,Gleison Tibau,red,DEC,4973
685,Russell Doane,Iuri Alcantara,red,DEC,4981
686,Alexander Yakovlev,Nico Musoke,red,DEC,4962
686,Mike Wilkinson,Niklas Backstrom,blue,KO/TKO,4976
686,Ernest Chavez,Zubaira Tukhugov,red,KO/TKO,4977
686,Charles Rosa,Dennis Siver,red,DEC,4978
686,Jan Blachowicz,Ilir Latifi,blue,KO/TKO,4979
686,Marcin Bandel,Mairbek Taisumov,red,KO/TKO,4984
686,Scott Askham,Magnus Cedenblad,red,DEC,4985
686,Rick Story,Gunnar Nelson,blue,DEC,4990
686,Max Holloway,Akira Corassani,blue,KO/TKO,4992
686,Gasan Umalatov,Cathal Pendred,red,DEC,4993
686,Krzysztof Jotko,Tor Troeng,blue,DEC,4994
687,Chad Mendes,Jose Aldo,red,DEC,4974
687,Phil Davis,Glover Teixeira,blue,DEC,4989
687,Wilson Reis,Scott Jorgensen,blue,SUB,5023
687,Hans Stringer,Fabio Maldonado,red,KO/TKO,5024
687,Beneil Dariush,Diego Ferreira,blue,DEC,5027
687,Neil Magny,William Patolino,blue,KO/TKO,5028
687,Naoyuki Kotani,Yan Cabral,red,SUB,5029
687,Lucas Martins,Darren Elkins,red,DEC,5045
687,Christos Giagos,Gilbert Burns,red,SUB,5046
687,Tony Martin,Fabricio Camoes,blue,SUB,5077
688,Bryan Caraway,Raphael Assuncao,red,DEC,4930
688,Tarec Saffiedine,Rory MacDonald,red,KO/TKO,4975
688,Bruno Santos,Elias Theodorou,red,DEC,4995
688,Li Jingliang,Nordine Taleb,red,DEC,5006
688,Yosdenis Cedeno,Chad Laprise,red,DEC,5014
688,Roman Salazar,Mitch Gagnon,red,SUB,5015
688,Jake Lindsey,Olivier Aubin-Mercier,red,SUB,5016
688,Paul Felder,Jason Saggo,blue,DEC,5017
688,Jerrod Sanders,Pedro Munhoz,no contest,SUB,5018
688,Chris Kelades,Patrick Holohan,blue,DEC,5021
688,Anthony Njokuani,Daron Cruickshank,red,DEC,5026
689,Mark Hunt,Fabricio Werdum,red,KO/TKO,4980
689,Kelvin Gastelum,Jake Ellenberger,blue,SUB,5010
689,Dennis Bermudez,Ricardo Lamas,red,SUB,5012
689,Hector Urbina,Edgar Garcia,blue,SUB,5080
689,Leslie Smith,Jessica Eye,red,KO/TKO,5081
689,Chris Heatherly,Augusto Montano,red,KO/TKO,5092
689,Jose Quinonez,Alejandro Perez,red,DEC,5123
689,Guido Cannetti,Henry Briones,red,SUB,5124
689,Marlon Vera,Marco Beltran,red,DEC,5125
689,Humberto Brown Morrison,Gabriel Benitez,red,SUB,5129
689,Leonardo Morales,Yair Rodriguez,red,DEC,5130
690,Brendan Schaub,Travis Browne,red,KO/TKO,5044
690,Gilbert Melendez,Anthony Pettis,red,SUB,5047
690,Justin Jones,Corey Anderson,red,DEC,5052
690,Robbie Lawler,Johny Hendricks,blue,DEC,5056
690,Josh Samman,Eddie Gordon,blue,KO/TKO,5065
690,Anthony Hamilton,Todd Duffee,red,KO/TKO,5066
690,Ashlee Evans-Smith,Raquel Pennington,red,SUB,5094
690,Matt Hobar,Sergio Pettis,red,DEC,5095
690,Francisco Rivera,Urijah Faber,red,SUB,5098
690,Clay Collard,Alex White,blue,DEC,5099
691,Daniel Cormier,Jon Jones,red,DEC,4906
691,Joshua Burkman,Hector Lombard,no contest,DEC,5087
691,Rodrigo Damm,Evan Dunham,red,DEC,5093
691,Nate Marquardt,Brad Tavares,red,DEC,5104
691,Louis Gaudinot,Kyoji Horiguchi,red,DEC,5106
691,Jared Cannonier,Shawn Jordan,red,KO/TKO,5107
691,Mats Nilsson,Omari Akhmedov,red,DEC,5109
691,Myles Jury,Donald Cerrone,red,DEC,5114
691,Paul Felder,Danny Castillo,blue,KO/TKO,5120
691,Cody Garbrandt,Marcus Brimage,blue,KO/TKO,5157
691,Marion Reneau,Alexis Dufresne,blue,DEC,5178
692,Kailin Curran,Paige VanZant,red,KO/TKO,5019
692,Dustin Ortiz,Joseph Benavidez,red,DEC,5020
692,Roger Narvaez,Luke Barnatt,blue,DEC,5039
692,Aleksei Oleinik,Jared Rosholt,blue,KO/TKO,5040
692,Nick Hein,James Vick,red,DEC,5041
692,Josh Copeland,Ruslan Magomedov,red,DEC,5042
692,Akbarh Arreola,Yves Edwards,blue,SUB,5050
692,Dooho Choi,Juan Puig,blue,KO/TKO,5051
692,Chico Camus,Brad Pickett,blue,DEC,5064
692,Cub Swanson,Frankie Edgar,red,SUB,5072
692,Edson Barboza,Bobby Green,blue,DEC,5073
693,Ovince Saint Preux,Mauricio Rua,blue,KO/TKO,5030
693,Tim Gorman,Thomas Almeida,red,DEC,5057
693,Alan Jouban,Warlley Alves,red,DEC,5060
693,Trevor Smith,Caio Magalhaes,red,KO/TKO,5061
693,Jorge de Oliveira,Dhiego Lima,red,DEC,5062
693,Colby Covington,Wagner Silva,blue,SUB,5063
693,Nina Ansaroff,Juliana Lima,red,DEC,5075
693,Leon Edwards,Claudio Silva,red,DEC,5076
693,Rodolfo Rubio,Diego Rivas,red,DEC,5102
694,Michael Bisping,Luke Rockhold,red,SUB,5032
694,Clint Hester,Robert Whittaker,red,KO/TKO,5033
694,Walt Harris,Soa Palelei,red,KO/TKO,5034
694,Vagner Rocha,Jake Matthews,red,SUB,5035
694,Guto Inocente,Anthony Perosh,red,SUB,5036
694,Sam Alvey,Dylan Andrews,blue,KO/TKO,5037
